	Protein.Accession	ARO.Accession	Model.Name	ARO.Name	AMR.Gene.Family	Drug.Class	Resistance.Mechanism
27	AAA26412.1	ARO:3002642	APH(3)-Ib	APH(3)-Ib	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
28	AAA26548.1	ARO:3002534	AAC(3)-IIb	AAC(3)-IIb	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
29	AAA26549.1	ARO:3002549	AAC(6)-Ic	AAC(6)-Ic	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
30	AAA26613.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
31	AAA26615.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
32	AAA26683.1	ARO:3002840	vatA	vatA	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
33	AAA26685.1	ARO:3002542	AAC(3)-VIIIa	AAC(3)-VIIIa	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
34	AAA26699.1	ARO:3002649	APH(3)-Va	APH(3)-Va	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
35	AAA26742.1	ARO:3001304	ErmS	ErmS	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
36	AAA26775.1	ARO:3003564	EXO beta-lactamase	EXO-1	EXO beta-lactamase	penam	antibiotic inactivation
37	AAA26793	ARO:3003748	oleC	oleC	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
38	AAA26832.1	ARO:3002827	tlrC	tlrC	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
39	AAA27471.1	ARO:3000205	tetX	tetX	tetracycline inactivation enzyme	glycylcycline;tetracycline antibiotic	antibiotic inactivation
40	AAA50325.1	ARO:3003036	oleB	oleB	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
41	AAA65953.1	ARO:3002919	vanRA	vanRA	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
42	AAA65954.1	ARO:3002931	vanSA	vanSA	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
43	AAA65955.1	ARO:3002942	vanHA	vanHA	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
44	AAA65956.1	ARO:3000010	vanA	vanA	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
45	AAA65957.1	ARO:3002949	vanXA	vanXA	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
46	AAA65958.1	ARO:3002955	vanYA	vanYA	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
47	AAA65959.1	ARO:3002962	vanZA	vanZA	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
48	AAA67509.1	ARO:3003554	tcmA	tcmA	major facilitator superfamily (MFS) antibiotic efflux pump	major facilitator superfamily (MFS) antibiotic efflux pump	antibiotic efflux
49	AAA71915.1	ARO:3000173	tet(E)	tet(E)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
50	AAA73865.1	ARO:3002674	catB	catB	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
51	AAA74437.1	ARO:3000378	MexB	MexB	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
52	AAA76822.1	ARO:3002654	APH(3)-VIIa	APH(3)-VIIa	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
53	AAA83417.1	ARO:3001407	OXA-12	OXA-12	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
54	AAA85213.1	ARO:3002866	dfrD	dfrD	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
55	AAA86871.1	ARO:3002841	vatB	vatB	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
56	AAA87229.1	ARO:3002558	AAC(6)-Ik	AAC(6)-Ik	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
57	AAA88552.1	ARO:3002541	AAC(3)-VIIa	AAC(3)-VIIa	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
58	AAA88675.1	ARO:3000498	ErmF	ErmF	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
59	AAA98096.1	ARO:3000595	ErmT	ErmT	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
60	AAA98296.1	ARO:3000250	ErmC	ErmC	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
61	AAA98298.1	ARO:3002545	AAC(6)-Ia	AAC(6)-Ia	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
62	AAA98349.1	ARO:3001307	VgbA	vgbA	streptogramin vgb lyase	streptogramin antibiotic	antibiotic inactivation
63	AAA98406.1	ARO:3001404	OXA-9	OXA-9	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
64	AAA99503.1	ARO:3003250	bcrC	bcrC	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
65	AAA99504.1	ARO:3002987	bcrA	bcrA	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
66	AAA99505.1	ARO:3002988	bcrB	bcrB	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
67	AAA99931.1	ARO:3003060	tsnR	tsnR	non-erm 23S ribosomal RNA methyltransferase (A1067)	peptide antibiotic	antibiotic target alteration
68	AAB05622.1	ARO:3002921	vanRB	vanRB	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
69	AAB05623.1	ARO:3002932	vanSB	vanSB	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
70	AAB05624.1	ARO:3002956	vanYB	vanYB	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
71	AAB05625.1	ARO:3002964	vanWB	vanWB	vanW;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
72	AAB05626.1	ARO:3002943	vanHB	vanHB	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
73	AAB05628.1	ARO:3002950	vanXB	vanXB	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
74	AAB19430.2	ARO:3002242	CARB-3	CARB-3	CARB beta-lactamase	penam	antibiotic inactivation
75	AAB21326.1	ARO:3002651	APH(3)-Vc	APH(3)-Vc	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
76	AAB23649.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
77	AAB36568.1	ARO:3002700	cmlv	cmlv	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation
78	AAB41059.1	ARO:3002884	iri	iri	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
79	AAB41701.1	ARO:3002526	AAC(2)-Id	AAC(2)-Id	AAC(2)	aminoglycoside antibiotic	antibiotic inactivation
80	AAB41956.1	ARO:3000800	MexC	MexC	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
81	AAB41957.1	ARO:3000801	MexD	MexD	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
82	AAB41958.1	ARO:3000802	OprJ	OprJ	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
83	AAB49832.1	ARO:3002636	APH(2)-IIIa	APH(2)-IIIa	APH(2)	aminoglycoside antibiotic	antibiotic inactivation
84	AAB51421.1	ARO:3002686	catP	catP	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
85	AAB51440.1	ARO:3002824	ErmV	ErmV	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
86	AAB53259.1	ARO:3002671	cat-TC	cat-TC	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
87	AAB53445.1	ARO:3002897	SAT-4	SAT-4	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
88	AAB57788.1	ARO:3000464	Neisseria gonorrhoeae mutant porin PIB (por) with reduced permeability to antibiotic	Neisseria gonorrhoeae porin PIB (por)	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;penem	reduced permeability to antibiotic
89	AAB58160.1	ARO:3003009	ceoA	ceoA	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;aminoglycoside antibiotic	antibiotic efflux
90	AAB58161.1	ARO:3003010	ceoB	ceoB	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;aminoglycoside antibiotic	antibiotic efflux
91	AAB58447.1	ARO:3002662	APH(9)-Ia	APH(9)-Ia	APH(9)	aminoglycoside antibiotic	antibiotic inactivation
92	AAB58555.1	ARO:3001413	OXA-18	OXA-18	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
93	AAB63533.1	ARO:3002556	AAC(6)-Ii	AAC(6)-Ii	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
94	AAB66655.1	ARO:3002663	APH(9)-Ib	APH(9)-Ib	APH(9)	aminoglycoside antibiotic	antibiotic inactivation
95	AAB84282.1	ARO:3000181	tet(V)	tet(V)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
96	AAB95639.1	ARO:3000118	vgaB	vgaB	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
97	AAC05822.1	ARO:3002846	arr-1	arr-1	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
98	AAC09015.1	ARO:3002481	AER-1	AER-1	AER beta-lactamase	penam	antibiotic inactivation
99	AAC23556.1	ARO:3002660	APH(6)-Id	APH(6)-Id	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
100	AAC25500.1	ARO:3002560	AAC(6)-Iq	AAC(6)-Iq	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
101	AAC32025.1	ARO:3002650	APH(3)-Vb	APH(3)-Vb	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
102	AAC32026.1	ARO:3002823	ErmH	ErmH	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
103	AAC32027.1	ARO:3002817	carA	carA	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
104	AAC36915.1	ARO:3000593	ErmQ	ErmQ	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
105	AAC36944.1	ARO:3003006	blt	blt	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
106	AAC37034.1	ARO:3000522	ErmG	ErmG	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
107	AAC41392.1	ARO:3002557	AAC(6)-Ij	AAC(6)-Ij	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
108	AAC41449.1	ARO:3001398	OXA-3	OXA-3	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
109	AAC43550.1	ARO:3003967	lrfA	lrfA	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
110	AAC43969.1	ARO:3003037	opcM	opcM	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;aminoglycoside antibiotic	antibiotic efflux
111	AAC44793.1	ARO:3002524	AAC(2)-Ib	AAC(2)-Ib	AAC(2)	aminoglycoside antibiotic	antibiotic inactivation
112	AAC46344.1	ARO:3001408	OXA-13	OXA-13	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
113	AAC60780.1	ARO:3003049	rosB	rosB	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
114	AAC60781.1	ARO:3003048	rosA	rosA	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
115	AAC61670.1	ARO:3001308	VgbB	vgbB	streptogramin vgb lyase	streptogramin antibiotic	antibiotic inactivation
116	AAC61671.1	ARO:3002842	vatC	vatC	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
117	AAC64365.1	ARO:3000230	ANT(2)-Ia	ANT(2)-Ia	ANT(2)	aminoglycoside antibiotic	antibiotic inactivation
118	AAC64366.1	ARO:3002847	arr-2	arr-2	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
119	AAC69327.1	ARO:3000598	Erm(31)	Erm(31)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
120	AAC69328.1	ARO:3001265	Erm(30)	Erm(30)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
121	AAC72341.1	ARO:3000182	tet(Y)	tet(Y)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
122	AAC74149.2	ARO:3001216	mdtH	mdtH	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
123	AAC74603.2	ARO:3003378	Escherichia coli marR mutant conferring antibiotic resistance	Escherichia coli marR mutant conferring antibiotic resistance	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
124	AAC75089.1	ARO:3003577	pmrE	PmrE	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
125	AAC75135.2	ARO:3000792	mdtA	mdtA	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
126	AAC75136.1	ARO:3000793	mdtB	mdtB	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
127	AAC75137.1	ARO:3000794	mdtC	mdtC	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
128	AAC75314.1	ARO:3003578	pmrF	PmrF	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
129	AAC75315.1	ARO:3002985	arnA	arnA	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
130	AAC75429.1	ARO:3000833	evgS	evgS	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam;tetracycline antibiotic	antibiotic efflux
131	AAC75733.1	ARO:3000074	emrB	emrB	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
132	AAC76093.1	ARO:3002986	bacA	bacA	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
133	AAC76296.1	ARO:3000656	acrS	AcrS	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
134	AAC76297.1	ARO:3000499	acrE	AcrE	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
135	AAC76298.1	ARO:3000502	acrF	AcrF	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
136	AAC76539.1	ARO:3000796	mdtF	mdtF	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux
137	AAC77033.1	ARO:3003381	Escherichia coli soxR with mutation conferring antibiotic resistance	Escherichia coli soxR with mutation conferring antibiotic resistance	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
138	AAC77293.1	ARO:3001214	mdtM	mdtM	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;lincosamide antibiotic;nucleoside antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux
139	AAC78336.1	ARO:3002826	EreA2	EreA2	macrolide esterase	macrolide antibiotic	antibiotic inactivation
140	AAD01868.1	ARO:3002867	dfrF	dfrF	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
141	AAD03490.1	ARO:3002561	AAC(6)-Ir	AAC(6)-Ir	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
142	AAD03491.1	ARO:3002562	AAC(6)-Is	AAC(6)-Is	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
143	AAD03494.1	ARO:3002566	AAC(6)-Iv	AAC(6)-Iv	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
144	AAD03495.1	ARO:3002567	AAC(6)-Iw	AAC(6)-Iw	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
145	AAD04032.1	ARO:3002892	otr(B)	otr(B)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
146	AAD09860.1	ARO:3000561	tet(30)	tet(30)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
147	AAD12162.1	ARO:3001299	tlrB conferring tylosin resistance	tlrB conferring tylosin resistance	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration
148	AAD12233.1	ARO:3001417	OXA-22	OXA-22	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
149	AAD12753.1	ARO:3000177	tet(J)	tet(J)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
150	AAD22403.1	ARO:3002970	vanTC	vanTC	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration
151	AAD25063.1	ARO:3000183	tet(Z)	tet(Z)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
152	AAD25538.1	ARO:3000174	tet(G)	tet(G)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
153	AAD37403.1	ARO:3003202	TLA-1	TLA-1	TLA beta-lactamase	fluoroquinolone antibiotic;monobactam;cephalosporin	antibiotic inactivation
154	AAD46626.1	ARO:3002596	AAC(6)-IIc	AAC(6)-IIc	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
155	AAD50818.2	ARO:3002019	CMY-8	CMY-8	CMY beta-lactamase	cephamycin	antibiotic inactivation
156	AAD51344.1	ARO:3003051	smeA	smeA	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
157	AAD51345.1	ARO:3003052	smeB	smeB	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
158	AAD51346.1	ARO:3003053	smeC	smeC	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
159	AAD51347.1	ARO:3003067	smeS	smeS	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
160	AAD51348.1	ARO:3003066	smeR	smeR	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
161	AAF01499.1	ARO:3000193	tetT	tetT	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
162	AAF04458.1	ARO:3000850	GOB-1 beta-lactamase	GOB-1	GOB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
163	AAF09244.1	ARO:3000849	SFH-1	SFH-1	SFH beta-lactamase	carbapenem	antibiotic inactivation
164	AAF17880.1	ARO:3002605	aadA5	aadA5	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
165	AAF36802.1	ARO:3002945	vanHF	vanHF	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
166	AAF36803.1	ARO:3002908	vanF	vanF	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
167	AAF36804.1	ARO:3002952	vanXF	vanXF	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
168	AAF36805.1	ARO:3002958	vanYF	vanYF	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
169	AAF36806.1	ARO:3002963	vanZF	vanZF	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
170	AAF61331.1	ARO:3002966	vanXYC	vanXYC	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration
171	AAF63432	ARO:3003744	vatF	vatF	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
172	AAF67494.2	ARO:3002522	novA	novA	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
173	AAF86219.1	ARO:3000375	ErmB	ErmB	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
174	AAF86220.1	ARO:3002844	vatE	vatE	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
175	AAF86641.1	ARO:3002922	vanRC	vanRC	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
176	AAF86642.1	ARO:3002933	vanSC	vanSC	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
177	AAF86691.1	ARO:3001816	ACC-2	ACC-2	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
178	AAG03357.1	ARO:3000596	ErmX	ErmX	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
179	AAG07064.1	ARO:3003693	mexK	MexK	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux
180	AAG07762.1	ARO:3003030	mexV	MexV	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux
